path	owner_repo	kind	branch	tip_sha	mode	age_h	changed	untracked	tracked_files_changed	remote_tip_evidence	pr	pr_state	verdict	detail
0509-3617-followup	fleet-ops	worktree-file	claim/issue-3617-followup	f9d7306	C	29.3	0	0	-	refs/heads/claim/issue-3617-followup @ f9d7306 (ls-remote)	none	-	CANDIDATE	clean+pushed+24h+no-live; branch claim-shaped but fails reaper numeric parse -> mode C; issue 0509#3617 CLOSED 2026-09-19T08:28Z
5918-repro	fleet-ops	worktree-file	(detached)	f48cb50	C	32.4	0	0	-	refs/pull/7823/head @ f48cb50 (ls-remote)	#7823	closed-unmerged	CANDIDATE	clean+pushed+24h+no-live; mystery-circle repro tree, tip preserved on origin PR ref
fleet-ops-5175	fleet-ops	worktree-file	(detached)	7414532	C	46.6	0	0	-	refs/heads/claim/issue-5326 @ 7414532 (ls-remote)	none	-	CANDIDATE	clean+pushed+24h+no-live; tip == live origin claim/issue-5326 tip exactly; issue 5326 open-but-silent 2d, no PR
fleet-ops-7820-cap8	fleet-ops	worktree-file	fix/intake-cap-8-pareto-xkiro	776fa6b	C	32.8	0	0	-	refs/pull/7827/head @ 776fa6b (ls-remote)	#7827	merged 2026-09-19T04:54Z	CANDIDATE	clean+pushed+24h+no-live; branch deleted on origin post-merge, PR ref keeps head
issue-7862	fleet-ops	worktree-file	claim/issue-7862	b40c9e5	A	25.9	0	0	-	refs/pull/7894/head @ b40c9e5 (ls-remote)	#7894	merged 2026-09-19T12:57Z	CANDIDATE	merged-claim reaped immediately per reaper; clean; no live unit
issue-7869	fleet-ops	worktree-file	claim/issue-7869	c09fa94	A	26.2	0	0	-	refs/pull/7881/head @ c09fa94 (ls-remote)	#7881	merged 2026-09-19T11:37Z	CANDIDATE	merged-claim reaped immediately per reaper; clean; no live unit
issue-0509-6475	0509	worktree-file	claim/issue-6475	f5b84ab	A	11.4	0	0	-	refs/pull/3735/head @ f5b84ab (ls-remote)	#3735	merged 2026-09-20T02:38Z	CANDIDATE	merged-claim reaped immediately per reaper; clean; no live unit
issue-0509-6829	0509	worktree-file	claim/issue-6829	abaa912	A	7.0	0	0	-	refs/pull/3799/head @ abaa912 (ls-remote)	#3799	merged 2026-09-20T07:21Z	CANDIDATE	merged-claim reaped immediately per reaper; clean; no live unit
issue-fleet-ops-7776	fleet-ops	worktree-file	claim/issue-7776	be38630	A	43.1	4	0	lib/seat-probe.sh;systemd/pi-intake@.service;tests/seat-probe.test.sh;tests/test_pi_packet_verdict.py	refs/pull/? none for be38630; branch on origin @5555025 (10 behind)	#7784	OPEN + auto-merge armed since 09-18T18:23Z, mergeStateStatus UNKNOWN, 0 reviews	RETAINED-UNSAFE	dirty; local branch tip's 10 commits PROVEN contained in origin/main (deploy clone merge-base --is-ancestor OK); 3 staged adds + 1 mod are local-only content; pushing would advance someone else's armed PR
issue-fleet-ops-3622	fleet-ops	worktree-file	claim/issue-3622	004729a	A	31.1	0	0	-	refs/heads/claim/issue-3622 @ 004729a (ls-remote)	#7808	OPEN + auto-merge armed 09-19T05:44Z	RETAINED-UNSAFE	open PR (mode A skipped_unmerged); clean and pushed, tree adds nothing
issue-fleet-ops-7799	fleet-ops	worktree-file	claim/issue-7799	b6eb510	B	46.7	2	0	measure.sh;tests/findings-measure-line.test.sh	refs/heads/claim/issue-7799 @ b6eb510; also refs/heads/claim/issue-5959 @ same sha	none	-	RETAINED-UNSAFE	dirty (both files ABSENT on origin/main -> local-only); mode B ledger gate fails (dispatch-ledger.jsonl dead since 2026-09-18, no unit entries)
issue-fleet-ops-7792	fleet-ops	worktree-file	(detached)	416a3c2	B	43.7	1	0	systemd/pi-scout-repair@.service	refs/heads/claim/issue-5414 @ 416a3c2	none	-	RETAINED-UNSAFE	dirty (modified file DIFFERS from origin/main); mode B ledger gate fails (no ledger entry)
fleet-ops-5124	fleet-ops	worktree-file	(detached)	5b298fb	C	46.8	1	0	lib/fleet-product-slo.py	refs/heads/claim/issue-5124 @ 5b298fb	none	-	RETAINED-UNSAFE	dirty (file ABSENT on origin/main -> local-only)
issue-0509-3536-0509	0509	git-dir	main	cdd2d27	C	110.4	0	1	migrations/0105_add_jev_mention_columns.sql (untracked)	refs/heads/claim/issue-3536 @ cdd2d27	#3536-related? branch on origin @cdd2d27	-	RETAINED-UNSAFE	untracked migration file ABSENT on 0509 origin/main (blob afea424b) -> genuinely local-only work; porcelain non-empty -> dirty gate
issue-0509-3750	0509	worktree-file	claim/issue-3750	77dd7d7	A	9.6	0	1	scripts/search-tier-canary.mjs (untracked)	refs/pull/3752/head @ 77dd7d7	#3752	merged 2026-09-20T04:34Z	RETAINED-UNSAFE	untracked script ABSENT on 0509 origin/main (blob ccef0011) -> genuinely local-only; porcelain non-empty -> dirty gate beats merged-immediate
jev-ultrafast-ref	external	git-dir	main	1231850	E	42.9	0	0	-	refs/heads/main (upstream browser-use/jev-ultrafast) @ same sha	-	-	RETAINED-YOUNG	mode E gate: 14-day salvage-age window; tree is 1.8d old
ref-jev-ultrafast	external	git-dir	main	1231850	E	44.2	0	0	-	refs/heads/main (upstream browser-use/jev-ultrafast) @ same sha	-	-	RETAINED-YOUNG	mode E gate: 14-day salvage-age window
.hidden-x	fleet-ops-deploy-clone	git-dir	main	97fe66d	E	202.7	0	0	-	main tip verified contained in deploy-clone origin/main (merge-base --is-ancestor OK)	-	-	RETAINED-YOUNG	standalone clone of deploy clone, local-path origin; 8.4d < 14d mode E window; clean
fleet-ops-5144	fleet-ops	git-dir	main	5b298fb	E	46.8	0	0	-	refs/heads/claim/issue-5124 @ 5b298fb (exact)	-	-	RETAINED-YOUNG	stale standalone clone; tip on origin; 1.9d < 14d mode E window; note: tip == claim/issue-5124 remote tip exactly
.lane	-	nogit	-	-	-	-	-	-	-	-	-	-	EXCLUDED	machinery state dir (no .git), not a worktree; listed for completeness
.pi	-	nogit	-	-	-	-	-	-	-	-	-	-	EXCLUDED	machinery state dir (agents/ subdirs), not a worktree; listed for completeness
issue-0509-2771	0509	-	claim/issue-2771	1a3fe8c	-	0.1	0	0	-	refs/heads/claim/issue-2771 @ same sha + refs/pull/#3823	#3823	OPEN 2026-09-20T13:42Z	LIVE-CYCLE-EXCLUDED	devin-issue@0509-2771.unit ACTIVE during run; machinery owns lifecycle
issue-0509-3788	0509	-	claim/issue-3788	cfa9555	-	0.5	14	1	(app/lib/mid-WIP files, cut off in first pass)	refs/heads/claim/issue-3788 @ same sha	none	-	LIVE-CYCLE-TRANSIENT	session timed out 2026-09-20T13:56Z; claim released by pi-issue-failed@0509-3788; ExecStopPost rm -rf removed tree mid-run; auto-restart pending (Restart=on-failure); uncommitted WIP destroyed by design
issue-0509-2764	0509	-	claim/issue-2764	-	-	0.0	-	-	-	-	-	-	LIVE-CYCLE-EXCLUDED	devin-issue@0509-2764 started mid-run 2026-09-20T14:02Z; worktree not yet on disk at re-check
issue-fleet-ops-6889	fleet-ops	worktree-file	claim/issue-6889	072b81a	-	0.0	0	0	-	refs/heads/claim/issue-6889 @ same sha	-	-	MY-OWN-UNIT	this run's worktree; active; excluded from all candidate logic
